feature,importance
hour_of_day,0.2429476358363957
is_night,0.15824233056018677
unusual_hour,0.14171044503195035
distance_from_home,0.10940515016559947
amount_time_interaction,0.06259138175045147
amount_percentile,0.050080526921663544
amount,0.04857694003046805
amount_log,0.048255500314504776
amount_distance_interaction,0.03941641300170721
high_amount_flag,0.026580552110346916
merchant_location,0.010484468742935413
customer_income,0.008300064897465643
avg_amount_ratio,0.008274292074908977
avg_amount_24h,0.007544768536316328
ratio_to_median_purchase,0.006770563725865302
distance_from_last_transaction,0.006436351251229726
customer_age,0.0055831674423948595
foreign_transaction,0.003932541178721392
day_of_week,0.0028589850061260837
transaction_frequency,0.0027124642807484414
previous_transactions_24h,0.0023682929216304175
merchant_category,0.0022428562009499486
card_type,0.0009262330729654451
online_order,0.0008883784020333609
is_weekend,0.000843111309672865
used_pin_number,0.0007237735727810767
repeat_retailer,0.000682264141481213
used_chip,0.0006205475184990843
